id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
2UikqkwBv7aIvlixeVXHWt,0.477,0.173,183.89,0.032,0.268,3.1e-05,4,0.602,9,213493,-8.425,0.552,1
7aEtlGHoiPAfRB084NiDmx,0.863,0.0874,77.001,0.0481,0.0139,0.0,4,0.538,1,186733,-4.483,0.637,1
7zp625x7gldRjoBuvcZ1MP,0.948,0.0606,181.921,0.184,0.00231,0.0,4,0.379,7,176276,-4.33,0.596,1
4ly1QBXEwYoDmje9rmEgC4,0.688,0.0863,108.008,0.0262,0.0763,0.0,4,0.563,7,202347,-4.474,0.622,1
5qqIccBZC1LfSGPU04Px26,0.554,0.172,66.247,0.0282,0.000937,0.0153,3,0.409,4,210065,-5.977,0.391,1
6EGRx5TVuHAsmy3JKb8SRC,0.6,0.0738,139.274,0.0261,0.0684,0.000112,4,0.647,8,203400,-13.625,0.961,1
1WzAeadSKJhqykZFbJNmQv,0.637,0.0696,100.511,0.0241,0.337,0.000222,4,0.744,6,211893,-4.483,0.785,1
0ZHZ91i5e2RDtN4ljog9Dc,0.916,0.327,114.04,0.0356,0.00694,0.0,4,0.562,9,172845,-3.19,0.88,1
0dRjCdlwKP9TOddQI8CVjF,0.72,0.143,121.175,0.0294,0.00411,2.74e-06,4,0.62,5,200547,-3.342,0.547,1
0qcxQHmYOp7okI0Eu6Dk69,0.549,0.353,99.961,0.0267,0.134,0.0,3,0.508,4,220307,-6.788,0.354,1
7GQjJEwqlp6m5HNWVQd6OR,0.72,0.135,122.512,0.0319,0.307,0.0,4,0.716,5,215853,-2.183,0.464,1
3oW6SWwGqiZSPTiAp7ZQoH,0.653,0.264,128.93,0.0265,0.246,0.0,4,0.595,7,241533,-4.935,0.542,1
13rC4iKtfQocWIfzPOJxaT,0.814,0.106,160.085,0.0439,0.0566,0.0,4,0.505,1,224773,-4.905,0.503,1
5LmwW6k3kPJicZxfYLRcBG,0.602,0.103,102.054,0.0238,0.12,0.000235,4,0.666,4,212505,-6.29,0.236,1
6BkK5Dsu1kTne7Cn6EyYex,0.667,0.0524,125.6,0.0278,0.502,4.07e-06,4,0.732,10,211267,-9.278,0.727,1
