id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
29U7stRjqHU6rMiS8BfaI9,0.165,0.118,77.082,0.0351,0.729,1.6e-06,4,0.271,5,139227,-20.652,0.203,1
648TTtYB0bH0P8Hfy0FmkL,0.182,0.143,136.094,0.031,0.92,0.0152,3,0.349,5,191973,-13.507,0.178,1
1YQWosTIljIvxAgHWTp7KP,0.26,0.0675,174.322,0.0401,0.539,0.00078,5,0.454,8,324133,-13.193,0.598,0
2IdwQxhJn9ZE4zIotcCefR,0.356,0.175,174.176,0.0303,0.613,0.0,3,0.262,0,187667,-8.031,0.426,0
7znjbX9XdoQayIrVNdd50Z,0.149,0.0986,130.359,0.0392,0.867,0.000983,4,0.653,10,320253,-17.866,0.481,0
0F845nujLVqCb0XMZCh5Pc,0.0657,0.0946,128.607,0.0406,0.94,0.00488,4,0.532,0,201440,-19.136,0.292,0
30QD4VRP9yEneOh0eGTrtJ,0.15,0.105,98.66,0.0522,0.984,0.000902,3,0.462,8,207600,-13.531,0.19,1
0zDVclPMSsjeyvbnqhWOmt,0.0406,0.0845,70.138,0.0635,0.877,0.000364,4,0.52,0,203760,-16.397,0.285,1
0E8q2Fx2XuzXCO2NSAppkR,0.305,0.208,108.229,0.0316,0.936,0.0846,4,0.464,3,255227,-12.435,0.282,0
5Lhjlnly9Ynhf52ojQS534,0.243,0.0905,118.661,0.124,0.829,1.02e-06,4,0.747,4,215747,-15.134,0.426,0
78MI7mu1LV1k4IA2HzKmHe,0.104,0.191,76.497,0.101,0.913,0.0,4,0.443,0,185160,-17.042,0.394,1
0aWMVrwxPNYkKmFthzmpRi,0.0162,0.0978,110.479,0.0388,0.808,0.0024,4,0.421,2,337733,-25.358,0.154,0
7ilc2TB1RZXbQJyFs5qCiC,0.306,0.0733,133.63,0.0345,0.883,0.000386,4,0.595,7,142533,-14.404,0.464,1
2dR5WkrpwylTuT3jRWNufa,0.365,0.0575,119.344,0.0564,0.525,0.0,4,0.67,0,147147,-10.158,0.45,1
4l9hml2UCnxoNI3yCdL1BW,0.00756,0.109,133.32,0.0382,0.941,0.00643,4,0.438,0,141133,-26.44,0.277,0
2gNjmvuQiEd2z9SqyYi8HH,0.0696,0.137,167.974,0.0339,0.916,0.00199,5,0.172,11,298133,-21.295,0.103,0
4smkJW6uzoHxGReZqqwHS5,0.0304,0.116,90.495,0.0361,0.989,0.0555,3,0.355,1,211533,-20.479,0.188,1
5y8zb3grlQonjdqd27K39T,0.0811,0.509,88.044,0.0631,0.779,0.0,4,0.723,0,181493,-14.113,0.36,1
