id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
0mj2sBzTr6l1klNonBbLyG,0.153,0.213,80.14,0.109,0.817,0.761,4,0.773,6,118500,-16.781,0.647,1
2TdkjlncY2p0VM4HxavJY9,0.325,0.479,80.007,0.153,0.852,0.975,4,0.531,9,141000,-14.37,0.341,1
2NDAiSSorPzaQ7i5sx4dDI,0.395,0.0903,79.975,0.109,0.818,0.926,4,0.553,11,108750,-16.693,0.487,1
1XvjgA7MDT5F7Zpa9rGUR5,0.338,0.121,82.979,0.147,0.432,0.859,4,0.733,10,138795,-8.259,0.737,0
6zkW8DxvN281ruHccv0MIS,0.249,0.112,120.043,0.0539,0.882,0.925,4,0.746,9,129868,-16.632,0.261,1
2Tc2p3pNAWjnIjiP6fS6y4,0.508,0.109,45.719,0.153,0.792,0.958,3,0.57,10,120000,-9.92,0.208,1
6UFRV34euOz5X7sCfJgGyV,0.293,0.122,77.08,0.0715,0.845,0.786,4,0.712,0,183963,-12.192,0.413,0
3ZlnSLnGe4VzT0SYKWlfWq,0.285,0.138,86.008,0.11,0.328,0.823,4,0.791,0,118438,-8.231,0.214,1
7o6Tpfymsh47oT5VeSSIPL,0.462,0.118,75.98,0.0419,0.968,0.914,4,0.666,8,117012,-8.984,0.631,1
3DWaQ3sAN07fwrEhHuKF1n,0.289,0.111,159.968,0.0351,0.806,0.904,4,0.659,7,118399,-17.629,0.34,0
5SUBn3zy2t5jAk0WoHAi6N,0.229,0.106,140.113,0.106,0.788,0.849,4,0.734,3,166286,-10.375,0.421,0
2IC07xMcGWjB24kqdE4zKv,0.153,0.0995,78.0,0.0923,0.911,0.918,4,0.69,2,99035,-16.7,0.322,0
5I9UpeH4RFZBbDRZoivrvj,0.577,0.352,74.996,0.0421,0.632,0.67,4,0.784,9,140800,-9.34,0.365,1
0iNW8VuTW4JopOHFXo9Hmw,0.211,0.105,169.959,0.287,0.616,0.946,4,0.762,7,107294,-17.552,0.419,0
3RpuDYXAtud2yNQF1Xa3JD,0.56,0.343,79.056,0.0552,0.382,0.882,3,0.684,9,155456,-7.109,0.277,0
2UMA25hOygW14Ib1rPvEbO,0.462,0.0875,160.041,0.0867,0.616,0.866,4,0.718,7,135750,-9.368,0.414,1
7AkXVemlM82Kzf5UgwRllt,0.421,0.226,82.958,0.106,0.939,0.909,4,0.78,7,96145,-14.824,0.235,0
2gNoc9XvLMECTErBk7YKmJ,0.217,0.102,149.933,0.0697,0.56,0.927,4,0.736,11,196887,-9.086,0.578,1
3dwL80oiNV7KBbihAgcmRZ,0.183,0.137,79.295,0.0432,0.97,0.88,4,0.673,10,140573,-16.714,0.597,1
5de261y9PMBp40oyycVd2h,0.478,0.12,87.951,0.151,0.928,0.904,4,0.607,7,133643,-10.528,0.403,0
3x1N6JXLW9cj3oOP7vR5b3,0.244,0.0818,80.048,0.0517,0.382,0.874,4,0.552,1,120750,-9.618,0.246,0
6BIZgdGyql6X7KvGkINgPt,0.403,0.154,79.009,0.0551,0.441,0.883,4,0.759,5,122848,-11.1,0.521,0
4U5WqVdkISyQaKIlAOICAt,0.604,0.24,180.166,0.364,0.874,0.827,4,0.575,0,130833,-6.93,0.515,1
5bDbin5uvxdIiYVTNjcShl,0.378,0.0918,77.017,0.085,0.603,0.879,4,0.778,3,107727,-11.712,0.693,0
6Cm89dtQ8Is63NmkNcb5ha,0.495,0.117,79.994,0.0975,0.833,0.926,4,0.784,0,144000,-6.939,0.33,1
6R5TBVKCGiV8ITQxBRXAz0,0.377,0.0898,89.98,0.0924,0.567,0.92,4,0.908,5,134510,-12.145,0.715,1
0rjbtVM8enAg85s1zc4Bpt,0.276,0.108,160.034,0.497,0.788,0.87,4,0.656,5,100125,-13.264,0.361,0
5UNOJl1CnxZ36iTh3IEHo2,0.46,0.104,84.966,0.138,0.915,0.869,4,0.563,0,127059,-12.645,0.262,1
